Country,Region,State,Territory,City
India,North,Uttar Pradesh,T31,Sikandrabad
India,North,Uttar Pradesh,T31,"Shahabad, Hardoi"
India,North,Uttar Pradesh,T31,Pilkhuwa
India,North,Uttar Pradesh,T31,Renukoot
India,North,Uttar Pradesh,T31,Vrindavan
India,North,Uttar Pradesh,T31,Ujhani
India,North,Uttar Pradesh,T31,Laharpur
India,North,Uttar Pradesh,T31,Tilhar
India,North,Uttar Pradesh,T31,Sahaswan
India,North,Uttar Pradesh,T31,Rath
India,North,Uttar Pradesh,T31,Sherkot
India,North,Uttar Pradesh,T31,Kalpi
India,North,Uttar Pradesh,T31,Tundla
India,North,Uttar Pradesh,T31,Sandila
India,North,Uttar Pradesh,T31,Nanpara
India,North,Uttar Pradesh,T31,Sardhana
India,North,Uttar Pradesh,T31,Nehtaur
India,North,Uttar Pradesh,T31,Seohara
India,North,Uttar Pradesh,T31,Padrauna
India,North,Uttar Pradesh,T31,Mathura
India,North,Uttar Pradesh,T31,Thakurdwara
India,North,Uttar Pradesh,T31,Nawabganj
India,North,Uttar Pradesh,T31,Siana
India,North,Uttar Pradesh,T31,Noorpur
India,North,Uttar Pradesh,T31,Sikandra Rao
India,North,Uttar Pradesh,T31,Puranpur
India,North,Uttar Pradesh,T31,Rudauli
India,North,Uttar Pradesh,T31,Thana Bhawan
India,North,Uttar Pradesh,T31,Palia Kalan
India,North,Uttar Pradesh,T31,Zaidpur
India,North,Uttar Pradesh,T31,Nautanwa
India,North,Uttar Pradesh,T31,Zamania
India,North,Uttar Pradesh,T31,"Shikarpur, Bulandshahr"
India,North,Uttar Pradesh,T31,Naugawan Sadat
India,North,Uttar Pradesh,T31,Fatehpur Sikri
India,North,Uttar Pradesh,T31,"Shahabad, Rampur"
India,North,Uttar Pradesh,T31,Robertsganj
India,North,Uttar Pradesh,T31,Utraula
India,North,Uttar Pradesh,T31,Sadabad
India,North,Uttar Pradesh,T31,Rasra
India,North,Uttar Pradesh,T31,Lar
India,North,Uttar Pradesh,T31,Lal Gopalganj Nindaura
India,North,Uttar Pradesh,T31,Sirsaganj
India,North,Uttar Pradesh,T31,Pihani
India,North,Uttar Pradesh,T31,"Shamsabad, Agra"
India,North,Uttar Pradesh,T31,Rudrapur
India,North,Uttar Pradesh,T31,Soron
India,North,Uttar Pradesh,T31,SUrban Agglomerationr
India,North,Uttar Pradesh,T31,Samdhan
India,North,Uttar Pradesh,T31,Sahjanwa
India,North,Uttar Pradesh,T31,Rampur Maniharan
India,North,Uttar Pradesh,T31,Sumerpur
India,North,Uttar Pradesh,T31,Shahganj
India,North,Uttar Pradesh,T31,Tulsipur
India,North,Uttar Pradesh,T31,Tirwaganj
India,North,Uttar Pradesh,T31,PurqUrban Agglomerationzi
India,North,Uttar Pradesh,T31,"Shamsabad, Farrukhabad"
India,North,Uttar Pradesh,T31,Warhapur
India,North,Uttar Pradesh,T31,Powayan
India,North,Uttar Pradesh,T31,Sandi
India,North,Uttar Pradesh,T31,Achhnera
India,North,Uttar Pradesh,T31,Naraura
India,North,Uttar Pradesh,T31,Nakur
India,North,Uttar Pradesh,T31,Sahaspur
India,North,Uttar Pradesh,T31,Safipur
India,North,Uttar Pradesh,T31,Reoti
India,North,Uttar Pradesh,T31,Sikanderpur
India,North,Uttar Pradesh,T31,Saidpur
India,North,Uttar Pradesh,T31,Sirsi
India,North,Uttar Pradesh,T31,Purwa
India,North,Uttar Pradesh,T31,Parasi
India,North,Uttar Pradesh,T31,Lalganj
India,North,Uttar Pradesh,T31,Phulpur
India,North,Uttar Pradesh,T31,Shishgarh
India,North,Uttar Pradesh,T31,Sahawar
India,North,Uttar Pradesh,T31,Samthar
India,North,Uttar Pradesh,T31,Pukhrayan
India,North,Uttar Pradesh,T31,Obra
India,North,Uttar Pradesh,T31,Niwai
India,North,Uttarakhand,T32,Dehradun
India,North,Uttarakhand,T32,Hardwar
India,North,Uttarakhand,T32,Haldwani-cum-Kathgodam
India,North,Uttarakhand,T32,Srinagar
India,North,Uttarakhand,T32,Kashipur
India,North,Uttarakhand,T32,Roorkee
India,North,Uttarakhand,T32,Rudrapur
India,North,Uttarakhand,T32,Rishikesh
India,North,Uttarakhand,T32,Ramnagar
India,North,Uttarakhand,T32,Pithoragarh
India,North,Uttarakhand,T32,Manglaur
India,North,Uttarakhand,T32,Nainital
India,North,Uttarakhand,T32,Mussoorie
India,North,Uttarakhand,T32,Tehri
India,North,Uttarakhand,T32,Pauri
India,North,Uttarakhand,T32,Nagla
India,North,Uttarakhand,T32,Sitarganj
India,North,Uttarakhand,T32,Bageshwar
India,North,West Bengal,T33,Kolkata
India,North,West Bengal,T33,Siliguri
India,North,West Bengal,T33,Asansol
India,North,West Bengal,T33,Raghunathganj
India,North,West Bengal,T33,Kharagpur
India,North,West Bengal,T33,Naihati
India,North,West Bengal,T33,English Bazar
India,North,West Bengal,T33,Baharampur
India,North,West Bengal,T33,Hugli-Chinsurah
India,North,West Bengal,T33,Raiganj
India,North,West Bengal,T33,Jalpaiguri
India,North,West Bengal,T33,Santipur
India,North,West Bengal,T33,Balurghat
India,North,West Bengal,T33,Medinipur
India,North,West Bengal,T33,Habra
India,North,West Bengal,T33,Ranaghat
India,North,West Bengal,T33,Bankura
India,North,West Bengal,T33,Nabadwip
India,North,West Bengal,T33,Darjiling
India,North,West Bengal,T33,Purulia
India,North,West Bengal,T33,Arambagh
India,North,West Bengal,T33,Tamluk
India,North,West Bengal,T33,AlipurdUrban Agglomerationr
India,North,West Bengal,T33,Suri
India,North,West Bengal,T33,Jhargram
India,North,West Bengal,T33,Gangarampur
India,North,West Bengal,T33,Rampurhat
India,North,West Bengal,T33,Kalimpong
India,North,West Bengal,T33,Sainthia
India,North,West Bengal,T33,Taki
India,North,West Bengal,T33,Murshidabad
India,North,West Bengal,T33,Memari
India,North,West Bengal,T33,Paschim Punropara
India,North,West Bengal,T33,Tarakeswar
India,North,West Bengal,T33,Sonamukhi
India,North,West Bengal,T33,PandUrban Agglomeration
India,North,West Bengal,T33,Mainaguri
India,North,West Bengal,T33,Malda
India,North,West Bengal,T33,Panchla
India,North,West Bengal,T33,Raghunathpur
India,North,West Bengal,T33,Mathabhanga
India,North,West Bengal,T33,Monoharpur
India,North,West Bengal,T33,Srirampore
India,North,West Bengal,T33,Adra
